Citizenship,Stream,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Gabon,Family,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Gambia,Family,4,2,4,1,-1,0,2,0,1,4,6,2,1,2,0,1
Gaza Strip,Family,1,0,0,2,1,0,0,0,0,2,0,0,2,1,0,0
Georgia,Family,9,6,6,7,0,8,4,9,4,8,9,7,6,7,3,8
"Germany, Federal Rep. Of",Family,559,512,497,480,483,587,600,615,669,682,783,733,800,808,651,749
Ghana,Family,105,108,93,76,56,59,116,130,114,148,138,129,88,179,136,173
Gibraltar,Family,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
Greece,Family,244,203,155,118,145,133,104,109,95,93,109,102,96,93,119,286
Grenada,Family,0,1,0,2,1,0,1,2,2,-1,0,2,1,0,0,1
Guatemala,Family,8,3,5,9,9,3,3,3,2,3,7,7,7,3,12,2
Guinea,Family,0,2,2,0,-1,3,1,0,3,2,8,12,24,41,30,15
Guinea-Bissau,Family,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0
Guyana,Family,5,1,0,3,4,5,6,3,1,7,1,1,3,0,3,1
Haiti,Family,0,3,0,2,0,0,0,0,0,1,0,0,2,4,0,0
Honduras,Family,5,4,1,1,2,2,3,1,7,5,0,3,5,3,5,0
Hong Kong (SAR of China),Family,736,665,442,510,404,435,523,713,569,585,673,604,785,547,530,564
Hungary,Family,100,82,68,76,56,85,79,75,77,84,82,90,71,91,77,84
Iceland,Family,2,4,3,7,1,2,8,4,3,2,2,5,8,8,4,12
India,Family,1056,914,949,970,1134,1509,1537,1976,1999,2623,3634,4034,4936,5103,4426,5489
Indonesia,Family,577,724,848,888,1053,1157,1090,1090,945,1060,1324,1294,1268,1293,1221,1098
Iran,Family,217,149,133,141,134,201,236,161,193,176,204,204,248,222,475,422
Iraq,Family,328,307,298,369,368,411,453,251,310,513,442,568,499,515,455,452
Irish Republic,Family,461,437,402,419,506,516,541,624,585,579,580,599,701,822,766,828
Israel,Family,171,175,146,135,118,174,200,188,165,139,200,150,171,134,119,98
Italy,Family,315,303,271,221,274,303,260,281,287,284,276,278,318,360,306,408
Jamaica,Family,9,10,6,3,8,9,6,8,15,17,15,13,14,13,2,7
Japan,Family,701,710,634,690,764,792,802,802,896,992,1021,965,1020,962,805,869
Jordan,Family,95,75,100,73,132,100,118,138,134,134,81,106,128,141,163,158
Kazakhstan,Family,18,28,21,24,17,34,33,34,24,25,28,24,39,27,29,40
Kenya,Family,21,23,38,34,55,65,81,102,104,107,121,112,127,137,173,136
Kiribati,Family,5,6,3,4,8,14,3,4,5,3,22,7,8,6,7,2
"Korea, Dem Peoples Rep Of",Family,0,0,0,2,2,3,7,0,0,1,0,5,2,5,0,0
"Korea, Republic of",Family,454,411,482,441,719,726,691,808,827,848,926,974,1095,1177,1016,1108
Kosovar,Family,0,0,0,0,0,0,0,0,0,0,0,0,14,33,7,19
Kuwait,Family,1,3,3,2,1,3,5,5,1,2,0,2,1,0,0,2
Kyrgyzstan,Family,4,7,9,11,11,14,23,22,20,11,11,14,13,24,12,5
Lao Peoples Democratic Rep,Family,40,65,61,58,55,56,40,41,66,53,101,82,70,60,52,124
Latvia,Family,26,21,19,22,24,37,26,28,28,21,22,18,23,45,25,39
Lebanon,Family,1008,1069,986,1330,1325,917,1561,1078,1171,1085,1153,1358,1043,914,928,1044
Lesotho,Family,1,0,0,0,0,1,0,0,4,0,1,0,1,2,1,1
Liberia,Family,5,1,0,0,1,0,1,8,5,5,10,28,50,65,68,76
Libya,Family,2,0,0,1,1,1,4,3,0,6,5,1,3,4,1,1
Liechtenstein,Family,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,2
Lithuania,Family,17,14,14,24,26,33,29,19,16,21,20,22,23,29,28,29
Luxembourg,Family,2,0,1,1,0,1,2,0,0,1,1,1,0,0,2,1
Macau Spec Admin Rgn,Family,6,3,3,11,12,20,19,16,13,19,19,15,23,15,8,21
Madagascar,Family,0,1,2,1,3,4,2,0,2,2,1,2,0,1,7,1
Malawi,Family,1,2,2,0,4,3,1,4,5,2,4,6,2,10,5,2
Malaysia,Family,570,500,554,567,547,576,588,582,705,714,816,816,938,940,933,886
Maldives,Family,3,3,1,3,2,7,1,4,3,2,7,3,6,6,3,5
Mali,Family,0,0,0,0,0,1,2,0,1,1,0,1,0,3,2,5
Malta,Family,31,31,25,25,30,18,33,31,35,30,47,61,49,29,28,33
Marshall Islands,Family,0,0,1,3,0,3,2,2,0,2,0,0,0,0,2,0
Mauritania,Family,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1
Mauritius,Family,73,89,33,40,79,72,66,96,77,83,137,115,126,168,153,141
Mexico,Family,20,32,23,34,35,41,53,44,49,75,70,79,96,111,86,121
Middle East (so stated),Family,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,Family,11,5,23,14,9,15,15,19,21,35,12,20,13,18,31,13
Monaco,Family,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Mongolia,Family,1,0,1,3,2,6,5,3,1,11,13,18,21,25,19,22
Montenegro,Family,0,0,0,0,0,0,0,0,0,0,2,18,8,8,12,12
Morocco,Family,33,28,26,36,20,31,30,30,31,32,47,45,33,39,63,42
Mozambique,Family,1,0,2,0,4,5,2,3,3,4,5,7,3,9,5,6
